id,value,name,isParent
1139,341823,泾县,False
1141,341824,绩溪县,False
1143,341825,旌德县,False
1145,341881,宁国市,False
1120,341700,池州市本级,False
1122,341702,贵池区,False
1124,341721,东至县,False
1126,341722,石台县,False
1128,341723,青阳县,False
7956,239400,五大连池风景名胜区,False
7958,239300,友谊国土资源局,False
1526,361000,抚州市本级,False
1528,361002,临川区,False
1530,361021,南城县,False
1532,361022,黎川县,False
1534,361023,南丰县,False
1536,361024,崇仁县,False
1538,361025,乐安县,False
1540,361026,宜黄县,False
1542,361027,金溪县,False
1544,361028,资溪县,False
1546,361029,东乡县,False
1548,361030,广昌县,False
1523,360983,高安市,False
3404,469024,临高县,False
3406,469025,白沙黎族自治县,False
3408,469026,昌江黎族自治县,False
3410,469027,乐东黎族自治县,False
3412,469028,陵水黎族自治县,False
3414,469029,保亭黎族苗族自治县,False
3416,469030,琼中黎族苗族自治县,False
3418,469031,西沙群岛,False
3420,469032,南沙群岛,False
3422,469033,中沙群岛的岛礁及其海域,False
7960,239201,国土资源局,False
7961,239202,松花江分局,False
7962,239203,牡丹江分局,False
7963,239204,合江分局,False
7941,239101,宝泉岭分局,False
7943,239102,国土资源局,False
7944,239103,红兴隆分局,False
7945,239104,建三江分局,False
7946,239105,牡丹江分局,False
7947,239106,北安分局,False
7948,239107,九三分局,False
7949,239108,齐齐哈尔分局,False
7950,239109,绥化分局,False
7951,239110,哈尔滨分局,False
7952,239111,直属佳南分局,False
7264,232700,大兴安岭地区本级,False
364,232701,加格达奇区,False
366,232702,松岭区,False
368,232703,新林区,False
370,232704,呼中区,False
372,232721,呼玛县,False
374,232722,塔河县,False
376,232723,漠河县,False
341,231200,绥化市本级,False
343,231202,北林区,False
345,231221,望奎县,False
347,231222,兰西县,False
349,231223,青冈县,False
351,231224,庆安县,False
353,231225,明水县,False
355,231226,绥棱县,False
357,231281,安达市,False
359,231282,肇东市,False
361,231283,海伦市,False
326,231100,黑河市本级,False
328,231102,爱辉区,False
330,231121,嫩江县,False
332,231123,逊克县,False
334,231124,孙吴县,False
336,231181,北安市,False
338,231182,五大连池市,False
417,310230,崇明县,False
303,231000,牡丹江市本级,False
305,231002,东安区,False
307,231003,阳明区,False
309,231004,爱民区,False
311,231005,西安区,False
313,231024,东宁县,False
315,231025,林口县,False
317,231081,绥芬河市,False
319,231083,海林市,False
321,231084,宁安市,False
323,231085,穆棱市,False
7130,310100,上海市本级,False
380,310101,黄浦区,False
382,310103,卢湾区,False
384,310104,徐汇区,False
386,310105,长宁区,False
388,310106,静安区,False
390,310107,普陀区,False
392,310108,闸北区,False
394,310109,虹口区,False
396,310110,杨浦区,False
398,310112,闵行区,False
400,310113,宝山区,False
402,310114,嘉定区,False
404,310115,浦东新区,False
406,310116,金山区,False
408,310117,松江区,False
410,310118,青浦区,False
412,310119,南汇区,False
414,310120,奉贤区,False
192,230500,双鸭山市本级,False
194,230502,尖山区,False
196,230503,岭东区,False
198,230505,四方台区,False
200,230506,宝山区,False
202,230521,集贤县,False
204,230522,友谊县,False
206,230523,宝清县,False
208,230524,饶河县,False
269,230800,佳木斯市本级,False
271,230803,向阳区,False
273,230804,前进区,False
275,230805,东风区,False
277,230811,郊区,False
279,230822,桦南县,False
281,230826,桦川县,False
283,230828,汤原县,False
285,230833,抚远县,False
287,230881,同江市,False
289,230882,富锦市,False
292,230900,七台河市本级,False
294,230902,新兴区,False
296,230903,桃山区,False
298,230904,茄子河区,False
300,230921,勃利县,False
211,230600,大庆市本级,False
213,230602,萨尔图区,False
215,230603,龙凤区,False
217,230604,让胡路区,False
219,230605,红岗区,False
221,230606,大同区,False
223,230621,肇州县,False
225,230622,肇源县,False
227,230623,林甸县,False
